ProductID,ProductName,Description,CreatedAt,Price
550e8400-e29b-41d4-a716-446655440000,Laptop,Dell Inspiron 15 Laptop,2026-06-01,55000.00
550e8400-e29b-41d4-a716-446655440001,Mouse,Wireless Optical Mouse,2026-06-02,799.00
550e8400-e29b-41d4-a716-446655440002,Keyboard,Mechanical Gaming Keyboard,2026-06-03,2499.00
550e8400-e29b-41d4-a716-446655440003,Monitor,24 Inch Full HD Monitor,2026-06-04,12999.00
550e8400-e29b-41d4-a716-446655440004,Headphones,Bluetooth Noise Cancelling Headphones,2026-06-05,4999.00
550e8400-e29b-41d4-a716-446655440005,Webcam,HD USB Webcam,2026-06-06,1999.00
550e8400-e29b-41d4-a716-446655440006,Printer,All-in-One Inkjet Printer,2026-06-07,8999.00
550e8400-e29b-41d4-a716-446655440007,SSD,1TB NVMe SSD Storage,2026-06-08,6499.00
550e8400-e29b-41d4-a716-446655440008,Speaker,Portable Bluetooth Speaker,2026-06-09,2999.00
550e8400-e29b-41d4-a716-446655440009,Tablet,10 Inch Android Tablet,2026-06-10,15999.00
